id,places_name,latitude,longitude,total_nodes
118,Bundaran Teknik Elektro,-7.28626805474683,112.79369257099248,1
119,Turn 51,-7.286152073850373,112.79433558178546,3
120,Turn 52,-7.285948484292197,112.79551293185484,3
121,Turn 53,-7.285680825573,112.79701771002894,2
122,Turn 54,-7.28532631215378,112.79702878008943,2
123,Turn 55,-7.2853104923914,112.79814198609226,2
124,Turn 56,-7.285511403265113,112.79817228826003,2
125,Turn 57,-7.284418203619359,112.79705427884264,3
126,Turn 58,-7.283866092640206,112.796808671778,3
127,Turn 59,-7.282519234610095,112.79770264331049,1
128,Turn 60,-7.281909963203208,112.79766509238634,4
129,Turn 61,-7.28156674880603,112.79768386785231,3
130,Turn 62,-7.280877885275984,112.79772785924784,2
131,Turn 63,-7.280184921005453,112.79776925534853,2
132,Turn 64,-7.278865174244546,112.7978441713685,2
133,Turn 65,-7.278720312281611,112.7976687351114,2
134,Turn 66,-7.27781915694388,112.79676784622416,2
135,Turn 67,-7.27804679760822,112.79654783967702,3
136,Turn 68,-7.279090339717649,112.79550827810532,3
137,Turn 69,-7.27975997305598,112.79626363395192,2
138,Turn 70,-7.279404484024422,112.79506841588176,2
139,Turn 71,-7.281548569930138,112.79616599087588,2
140,Turn 72,-7.281144257206801,112.79564583004642,3
141,Turn 73,-7.282422115239016,112.79622737951476,2
142,Turn 74,-7.280414343996099,112.7944682443899,1
143,Turn 75,-7.280135180874192,112.79398616184434,4
144,Turn 76,-7.279367806749955,112.79316449780436,4
145,Turn 77,-7.279193908491521,112.7930917376488,2
146,Dept. Manajemen Bisnis,-7.277921928728254,112.79265978578232,1
147,Teknik Sipil,-7.280795382611765,112.7935308376229,2
148,Dept. Teknik Sistem & Industri,-7.283869429590752,112.79739325106064,2
149,ITS Research Center,-7.281102984024013,112.79744276762392,3
150,Main Gate,-7.279756235578489,112.79092805484008,3
151,Turn 100,-7.28002147872662,112.79121645397812,3
152,Turn 101,-7.280010978817911,112.79181575667047,3
153,Turn 102,-7.280532554881373,112.7923728894944,3
154,Turn 103,-7.2809198049324255,112.7927483541662,3
155,Parkir Teknik Sipil,-7.28055365471847,112.79282728686672,3
156,Turn 104,-7.281573808344566,112.79259513188155,3
157,Lapangan Taman Alumni ITS,-7.280615040292941,112.7919627801175,3
158,Taman Segitiga ITS,-7.281261088992865,112.7929799819691,3
159,Turn 105,-7.283120357515479,112.79231503145242,3
160,Exit Route,-7.28074296979719,112.79178070574189,3
161,Bundaran Teknik Mesin,-7.283308287524033,112.79312248606892,3
162,Turn 106,-7.2841029039867715,112.79326606121585,3
163,Turn 107,-7.284690887952957,112.7933653029488,3
164,Turn 108,-7.285135231662257,112.7934673440128,3
165,Entrance Fasilitas Olahraga ITS,-7.284136261619158,112.7930295915114,3
166,Turn 109,-7.286008265893324,112.79359754508488,3
167,Bank Mandiri,-7.284299768994441,112.79303943114874,3
168,BRI,-7.284412842841974,112.79307094710168,3
169,BSI,-7.284555847961247,112.79307094710168,3
170,BNI,-7.283764836251986,112.79362331186796,3
171,Ikatan Alumni ITS,-7.28478289889804,112.7932141730575,3
172,ATM BTN,-7.284897302902649,112.79323294851883,3
173,Merchandise Center,-7.284939871827142,112.7932356307276,3
174,UPT Fasor ITS,-7.284840100903996,112.79322154913162,3
175,Lapangan Basket (Tertutup),-7.285759905700671,112.79323369921975,3
176,Lapangan Basket Flexy (Terbuka),-7.285135315342396,112.79319671536162,3
177,ITS Stadium,-7.2853786144666115,112.79240288547042,3
178,GOR Bulutangkis ITS,-7.286715873723668,112.79303407977775,3
179,Lapangan Futsal ITS,-7.287277747671182,112.79280100046512,3
180,Lapangan Tenis ITS,-7.283770054695352,112.79263747561998,3
181,Lapangan Voli ITS,-7.2838246124868435,112.79293903630465,3
182,Kantor UPT Fasor ITS (Baru),-7.28386600115281,112.79224487772744,3
183,Parkiran Fasilitas Olahraga ITS,-7.284160766990511,112.7926819186334,3
184,Fitness Center ITS,-7.283911874071576,112.7920636348226,3
185,GOR Futsal Pertamina ITS,-7.283862832667978,112.79191212398376,3
186,Gerbang Asrama ITS,-7.289029081124037,112.79237915475652,3
187,South Gate ITS,-7.29037421679005,112.79208314341729,3
188,Teknik Informatika,-7.279652106149234,112.79758030607496,3
